id,vc,lc,dc,fc,cc
845,256761,396,30,0,64
846,6247,16,0,0,0
847,2719032,1484,543,0,88
848,4908,4,1,0,0
849,112860,161,6,0,40
850,633737,787,69,0,44
851,8317,21,4,0,4
852,46770,122,9,0,7
853,203157,1353,41,0,198
854,23988,165,2,0,8
855,34663,242,3,0,14
856,1211,6,0,0,0
857,252704,1345,25,0,48
858,118291,1065,16,0,37
859,400,10,4,6,7
860,73721,343,3,0,23
861,68917,286,7,0,20
862,26503,136,4,0,4
863,75793,559,5,0,26
864,80426,365,6,0,19
865,197877,579,36,0,67
866,24565,36,4,0,5
867,2321,11,1,0,1
868,8137,18,2,0,2
869,5086,38,2,0,3
870,4626,24,2,0,7
871,300,20,2,3,4
872,50309,67,2,0,13
873,49773,41,4,0,9
874,3059,27,0,0,0
875,33303,125,2,0,7
876,24046,365,6,0,53
877,977991,1754,160,0,393
878,120245,93,9,0,7
879,14856,10,0,0,1
880,5197,24,0,0,4
881,1547,9,0,0,0
882,48246,205,9,0,53
883,4070,38,1,0,3
884,578881,215,31,0,16
885,65784,82,7,0,6
886,14013,27,1,0,4
887,29305,24,2,0,5
888,68574,101,13,0,43
889,780959,108,175,0,94
890,36805,51,1,0,3
891,39971,37,4,0,12
892,183921,466,8,0,22
893,76893,170,12,0,49
894,297267,141,11,0,22
895,54022,254,14,0,53
896,21379,34,0,0,7
897,13201,24,2,0,3
898,401875,1175,80,0,236
899,27293,121,0,0,30
900,6290,46,1,0,8
901,9584,17,2,0,7
902,6034,10,0,0,5
903,74792,80,4,0,5
904,1043,7,1,0,1
905,172036,287,10,0,7
906,350910,403,44,0,96
907,110768,205,23,0,27
908,69705,74,23,0,10
909,113080,112,138,0,71
910,84095,58,14,0,36
911,19386,69,3,0,25
912,8592,10,0,0,0
913,9223,14,0,0,1
914,2908,8,1,0,0
915,1290,3,1,0,0
916,179232,251,13,0,53
917,1467,3,1,0,0
918,45221,182,8,0,27
919,140810,150,7,0,10
920,100979,72,7,0,16
921,43278,57,4,0,16
922,3656,8,1,0,0
923,184403,342,20,0,127
924,26869,216,9,0,22
925,5195,13,1,0,0
926,9905,35,0,0,2
927,79510,71,17,0,18
928,44069,107,2,0,9
929,25447,40,5,0,3
930,22036,18,16,0,5
931,94459,442,8,0,55
932,2291,49,1,0,1
933,39333,548,9,0,57
934,16937,53,6,0,7
935,57,0,0,0,0
936,10809,43,1,0,1
937,2583,8,0,0,2
938,86617,394,26,0,75
939,57066,407,2,0,25
940,139233,567,19,0,49
941,198780,151,14,0,11
942,18312,19,0,0,1
943,210782,392,20,0,54
944,2287,4,0,0,0
945,22774,79,11,0,9
946,273739,279,26,0,21
947,1927,15,1,0,4
948,17797,21,7,0,6
949,574684,485,95,0,61
950,4908,29,1,0,0
951,87000,197,16,0,3
952,8688,33,2,0,3
953,10722,25,2,0,0
954,183782,208,29,0,18
955,206960,175,6,0,6
956,120690,79,27,0,19
957,264553,717,7,0,10
958,7357,14,0,0,5
959,1476,5,0,0,2
960,8801,24,10,0,7
961,56556,230,5,0,31
962,307394,77,50,0,35
963,120576,257,36,0,98
964,84606,366,2,0,16
965,9532,14,0,0,1
966,44185,47,7,0,8
967,44639,113,8,0,1
968,16696,23,3,0,2
969,11211,13,1,0,0
970,18090,21,2,0,0
971,184276,123,18,0,40
972,3504,3,2,0,3
973,55513,70,9,0,4
974,20108,86,0,0,5
975,64044,115,15,0,27
976,65377,112,3,0,17
977,47772,125,6,0,17
978,16008,42,4,0,0
979,2579,9,0,0,3
980,41867,234,8,0,28
981,11402,101,1,0,10
982,92953,190,22,0,10
983,106555,182,25,0,32
984,17813,84,2,0,25
985,17013,35,4,0,4
986,41151,40,1,0,7
987,37418,50,1,0,6
988,4710,29,0,0,1
989,49984,169,10,0,4
990,3115,17,2,0,2
991,50,3,2,1,2
992,3258,3,2,0,0
993,145372,164,38,0,7
994,461309,1434,37,0,152
995,200,10,2,3,1
996,252661,1080,32,0,111
997,5887,19,2,0,0
998,5755,10,1,0,0
999,6635,19,1,0,0
1000,27204,10,4,0,2
